,id,importance_score,gene,chrom,chromStart,chromEnd,strand
368,ENSG00000137960.5,0.001,GIPC2,chr1,77979542,78138449,+
369,ENSG00000137558.6,0.001,PI15,chr8,74824537,74855029,+
370,ENSG00000248144.4,0.001,ADH1C,chr4,99336492,99353027,-
371,ENSG00000179636.13,0.001,TPPP2,chr14,21024109,21036276,+
372,ENSG00000278058.1,0.001,RP11-70D24.2,chr16,79605802,79606605,+
373,ENSG00000115841.18,0.001,RMDN2,chr2,37923187,38067142,+
374,ENSG00000186638.14,0.001,KIF24,chr9,34252381,34329200,-
375,ENSG00000131069.18,0.001,ACSS2,chr20,34872146,34927962,+
376,ENSG00000185112.5,0.001,FAM43A,chr3,194686544,194689037,+
377,ENSG00000136156.11,0.001,ITM2B,chr13,48233158,48270357,+
378,ENSG00000198838.10,0.001,RYR3,chr15,33310962,33866102,+
379,ENSG00000128944.12,0.001,KNSTRN,chr15,40382721,40394246,+
380,ENSG00000225938.1,0.001,RP4-575N6.4,chr1,101235683,101236528,-
